Wall time,Step,Value
1519432915.0754611,185,1.9794648885726929
1519433464.1108108,390,1.9139900207519531
1519433740.0140204,415,1.7880436182022095
1519433740.0298028,430,1.937718391418457
1519434478.3187811,705,1.8121103048324585
1519434868.4071977,905,1.839950442314148
1519435454.9897847,1290,1.6333271265029907
1519435641.0354235,1400,1.6814228296279907
1519435845.3976638,1415,1.6787807941436768
1519436024.615392,1510,1.4530459642410278
1519436024.926087,1590,1.3215607404708862
1519436546.9381897,1805,1.6297239065170288
1519436749.860747,1905,1.3422064781188965
1519436943.0436788,2015,1.594045639038086
1519436943.1305366,2090,1.2803480625152588
1519437335.4659905,2215,1.382582664489746
1519437335.5810044,2230,1.366215705871582
1519437335.7608705,2300,1.3375898599624634
1519437543.5720227,2360,1.4983410835266113
1519437543.6656852,2375,1.3472589254379272
1519438104.4404056,2635,1.408591628074646
1519438104.7068985,2685,0.867976725101471
1519438260.8972335,2740,1.0836403369903564
1519438433.5327854,2820,1.2881622314453125
1519438611.4024534,2990,1.2366966009140015
1519438792.1662467,3020,1.3071541786193848
1519438972.5058377,3125,1.046147346496582
1519439132.2274196,3205,1.0588675737380981
1519439467.7958536,3430,0.6154371500015259
1519439920.9370394,3755,1.2660939693450928
1519440094.18762,3860,0.9530501365661621
1519440753.8697317,4280,1.3701878786087036
1519441530.6550913,4760,1.1869674921035767
1519441629.7172995,4865,1.0273560285568237
1519441938.7586634,5300,0.7927425503730774
1519442016.3674002,5390,1.2954096794128418
1519442246.4376228,5640,1.3778327703475952
1519442400.0584157,5840,1.0407719612121582
1519442476.4556088,5930,0.7121161222457886
1519442554.387761,6030,0.8978716731071472
1519442554.390962,6045,0.7739180326461792
1519442713.7872593,6205,0.8002332448959351
1519442713.7996747,6250,1.212640643119812
1519442713.8107715,6260,1.0132827758789062
1519442713.8170362,6275,0.6829351782798767
1519442713.8694828,6300,0.9909379482269287
1519442792.4140995,6395,0.8685529828071594
1519442945.1781244,6555,0.7651110291481018
1519443098.910905,6750,1.018625259399414
1519443177.047644,6870,1.023128628730774
1519443253.0686784,6955,0.8602808117866516
1519443253.0968118,7000,0.7628639340400696
1519443481.6541271,7280,1.2747355699539185
1519443559.6284208,7365,0.7391233444213867
1519443559.6393983,7395,1.0051243305206299
1519443639.0509982,7495,0.9851179718971252
1519443795.1279995,7630,0.7717568278312683
1519443795.1579332,7685,0.7438209056854248
1519444029.4963176,7910,0.8255447149276733
1519444180.245022,8165,0.7587773203849792
1519444180.2550576,8185,0.6993498802185059
1519444413.799779,8465,0.737338662147522
1519444491.8356245,8565,0.8055865168571472
1519480142.3554666,8670,0.8631126284599304
1519480142.3773983,8685,0.9446794986724854
1519480675.4300048,8805,0.6703792810440063
1519480916.946454,8965,0.5682799816131592
1519481429.9216683,9160,0.8852090239524841
1519482703.745799,9670,0.7659050822257996
1519482703.7493584,9680,0.7258891463279724
1519482974.14413,9800,0.611117422580719
1519483235.0786772,9820,0.6267622113227844
1519483235.1526184,9890,0.9511142373085022
1519483235.1544662,9895,0.7618064880371094
1519483462.5802226,9955,0.5921037197113037
1519483984.0139234,10120,0.698907732963562
1519484804.5953078,10440,0.5598023533821106
1519484804.6096172,10460,0.5995305776596069
1519485039.676481,10545,0.714484453201294
1519485039.742762,10595,0.7411589026451111
1519485291.662341,10660,0.6647230982780457
1519485556.5805223,10760,0.5777701139450073
1519485556.5828764,10765,0.6635391712188721
1519486617.351076,11155,0.5135200023651123
1519487169.2891133,11355,0.6768966913223267
1519487169.3454547,11395,0.5038284063339233
1519488008.025901,11620,0.32200485467910767
1519488834.9359276,11995,0.6127817630767822
1519489100.3876767,12015,0.5861497521400452
1519489100.388637,12020,0.7264363765716553
1519489100.397478,12060,0.5526872277259827
1519489368.9849334,12140,0.5935086011886597
1519489369.013558,12145,0.559621274471283
1519489625.0951366,12265,0.45176613330841064
1519489891.554068,12380,0.5960397124290466
1519490401.5818732,12535,0.7031102180480957
1519490401.6601193,12575,0.509929895401001
1519490656.8885202,12610,0.5299497246742249
1519490656.9227965,12635,0.8512212038040161
1519490656.960846,12670,0.5339915752410889
1519491976.8043275,13150,0.6235553026199341
1519492235.556254,13295,0.41034138202667236
1519492498.9758973,13400,0.5508137941360474
1519493269.4983416,13605,0.7843414545059204
1519493793.846482,13850,0.38804635405540466
1519494062.8915076,13910,0.628149151802063
1519494566.015293,14110,0.4790327548980713
1519494566.0312018,14130,0.4017884433269501
1519495068.1465397,14325,0.723480224609375
